Point,raw,averaged
0,359,356
1,357,357
2,359,356
3,355,355
4,359,356
5,357,356
6,363,361
7,356,356
8,361,361
9,357,357
10,359,361
11,358,358
12,360,360
13,357,356
14,358,359
15,356,356
16,356,356
17,355,353
18,352,352
19,352,352
20,347,345
21,347,345
22,340,340
23,342,342
24,338,337
25,341,339
26,335,333
27,335,335
28,333,332
29,333,333
30,330,330
31,328,329
32,328,327
33,324,324
34,324,324
35,321,321
36,323,322
37,318,317
38,322,320
39,313,313
40,317,317
41,314,312
42,315,314
43,311,312
44,314,314
45,312,312
46,311,312
47,314,312
48,313,312
49,316,314
50,315,315
51,319,318
52,315,315
53,322,321
54,320,318
55,320,321
56,320,319
57,323,321
58,318,316
59,321,320
60,318,317
61,317,319
62,321,319
63,318,318
64,320,318
65,319,319
66,323,322
67,321,320
68,324,323
69,321,320
70,323,323
71,320,319
72,323,323
73,319,318
74,323,321
75,319,316
76,317,318
77,317,315
78,316,316
79,316,315
80,312,314
81,314,314
82,312,312
83,315,314
84,309,310
85,315,314
86,310,309
87,315,314
88,310,308
89,312,313
90,312,310
91,311,310
92,310,310
93,310,311
94,310,308
95,306,307
96,309,308
97,305,305
98,310,309
99,304,303
100,308,307
101,305,305
102,312,312
103,309,308
104,312,313
105,315,313
106,316,316
107,316,316
108,317,318
109,318,318
110,316,317
111,321,320
112,316,317
113,320,320
114,317,318
115,321,321
116,319,318
117,323,321
118,318,317
119,322,321
120,320,318
121,320,320
122,318,318
123,318,319
124,319,318
125,318,317
126,318,317
127,313,314
128,317,316
129,313,312
130,315,314
131,308,308
132,310,309
133,304,303
134,305,306
135,301,301
136,303,303
137,300,300
138,300,301
139,301,300
140,301,300
141,304,301
142,301,300
143,304,303
144,301,300
145,306,305
146,303,303
147,309,310
148,305,305
149,310,311
150,309,309
151,314,315
152,314,315
153,318,319
154,318,317
155,320,319
156,322,322
157,321,320
158,326,323
159,322,322
160,324,323
161,320,321
162,324,324
163,321,320
164,324,324
165,323,321
166,325,324
167,321,319
168,321,321
169,321,319
170,318,318
171,318,317
172,316,316
173,317,316
174,312,313
175,316,315
176,311,310
177,317,315
178,311,310
179,315,314
180,310,309
181,313,313
182,310,310
183,311,310
184,309,308
185,309,308
186,309,308
187,307,306
188,310,309
189,307,307
190,313,312
191,310,310
192,315,314
193,311,311
194,316,315
195,313,312
196,318,318
197,315,314
198,317,318
199,318,318
200,319,320
201,325,323
202,322,322
203,325,324
204,326,325
205,328,326
206,322,321
207,326,325
208,320,319
209,326,323
210,320,320
211,323,323
212,319,318
213,321,322
214,322,322
215,320,320
216,322,320
217,320,321
218,324,322
219,319,320
220,322,321
221,319,318
222,321,320
223,315,315
224,321,320
225,316,316
226,317,318
227,314,313
228,315,315
229,311,310
230,311,311
231,310,310
232,309,309
233,312,310
234,311,310
235,312,309
236,307,307
237,310,312
238,308,307
239,314,314
240,312,311
241,317,317
242,314,312
243,315,315
244,316,315
245,313,314
246,319,318
247,316,316
248,318,316
249,316,317
250,323,323
251,320,320
252,324,324
253,323,323
254,328,326
255,325,322
256,327,327
257,322,322
258,327,327
259,323,323
260,324,324
261,325,325
262,324,325
263,323,322
264,322,322
265,324,324
266,318,318
267,323,322
268,319,318
269,322,321
270,318,316
271,320,320
272,315,314
273,317,317
274,315,314
275,316,315
276,315,313
277,313,312
278,312,311
279,308,308
280,306,306
281,304,304
282,304,304
283,302,302
284,304,304
285,300,300
286,306,305
287,302,302
288,307,308
289,308,308
290,313,314
291,312,312
292,312,313
293,315,315
294,318,317
295,320,319
296,317,317
297,323,322
298,323,322
299,328,327
300,324,324
301,327,328
302,327,325
303,330,329
304,327,325
305,329,328
306,328,328
307,329,327
308,330,328
309,328,327
310,328,328
311,326,325
312,327,327
313,326,325
314,328,328
315,324,322
316,324,324
317,318,318
318,320,321
319,316,316
320,316,316
321,314,312
322,314,314
323,313,312
324,312,313
325,314,314
326,312,312
327,314,314
328,311,311
329,314,313
330,308,308
331,312,312
332,308,309
333,312,312
334,308,307
335,312,311
336,309,308
337,311,312
338,313,313
339,314,314
340,317,316
341,314,314
342,318,318
343,317,316
344,322,320
345,320,319
346,325,324
347,323,321
348,325,325
349,322,322
350,327,328
351,324,323
352,324,325
353,325,323
354,326,325
355,326,324
356,321,322
357,322,322
358,318,319
359,320,319
360,315,315
361,320,319
362,315,314
363,319,318
364,314,314
365,314,315
366,310,310
367,312,312
368,311,310
369,311,310
370,308,307
371,305,306
372,309,308
373,306,305
374,310,308
375,306,304
376,308,307
377,304,302
378,306,305
379,303,302
380,303,304
381,301,300
382,302,302
383,302,302
384,304,304
385,303,303
386,305,304
387,304,305
388,302,302
389,307,306
390,302,302
391,307,306
392,304,303
393,308,309
394,309,308
395,312,313
396,313,312
397,317,317
398,319,318
399,320,320
400,320,319
401,321,323
402,325,324
403,325,325
404,329,327
405,325,324
406,325,325
407,321,322
408,327,327
409,323,322
410,325,324
411,324,322
412,326,326
413,323,322
414,324,324
415,324,322
416,322,321
417,322,320
418,319,319
419,322,321
420,317,316
421,319,319
422,314,314
423,317,315
424,309,307
425,311,310
426,306,305
427,305,306
428,306,304
429,303,305
430,305,303
431,304,303
432,306,306
433,302,303
434,306,305
435,303,303
436,309,307
437,302,303
438,308,308
439,304,304
440,310,309
441,308,306
442,311,310
443,311,310
444,315,315
445,316,315
446,318,318
447,321,320
448,319,319
449,323,322
450,320,320
451,327,326
452,321,322
453,326,326
454,323,323
455,327,328
456,325,324
457,328,327
458,324,324
459,325,325
460,323,321
461,324,323
462,322,321
463,321,320
464,321,320
465,318,318
466,322,320
467,317,316
468,322,320
469,317,316
470,321,320
471,316,316
472,316,318
473,316,314
474,317,316
475,315,313
476,313,313
477,314,312
478,310,311
479,314,311
480,311,310
481,312,311
482,308,309
483,311,312
484,309,309
485,315,315
486,310,310
487,316,317
488,314,313
489,317,317
490,319,318
491,320,319
492,321,320
493,321,321
494,324,323
495,322,322
496,324,322
497,321,320
498,325,324
499,318,317
500,322,322
501,317,318
502,320,321
503,318,318
504,322,322
505,320,318
506,320,320
507,321,319
508,317,317
509,319,318
510,318,317
511,320,318
512,315,314
513,319,318
514,315,315
515,319,318
516,313,313
517,315,316
518,312,311
519,317,316
520,314,312
521,311,312
522,312,310
523,310,311
524,314,311
525,310,310
526,313,311
527,308,308
528,310,310
529,307,308
530,313,312
531,309,308
532,313,312
533,309,307
534,310,310
535,309,308
536,313,313
537,314,314
538,312,314
539,315,314
540,314,316
541,318,317
542,316,318
543,320,321
544,319,318
545,325,323
546,322,320
547,326,324
548,321,320
549,322,324
550,320,320
551,322,323
552,324,323
553,322,324
554,324,324
555,324,323
556,326,324
557,323,323
558,328,326
559,325,324
560,327,326
561,323,322
562,324,324
563,321,320
564,322,323
565,317,317
566,319,319
567,316,316
568,314,315
569,315,313
570,311,311
571,312,310
572,308,307
573,310,309
574,307,306
575,308,308
576,304,306
577,311,311
578,309,308
579,314,313
580,310,309
581,313,313
582,314,312
583,315,315
584,316,316
585,318,317
586,320,319
587,319,318
588,324,322
589,320,320
590,326,325
591,322,323
592,328,328
593,325,325
594,330,330
595,325,326
596,329,329
597,329,328
598,329,328
599,328,327
600,326,326
601,327,326
602,323,322
603,325,323
604,319,320
605,323,322
606,318,317
607,320,320
608,316,315
609,319,319
610,314,314
611,319,318
612,316,314
613,316,317
614,318,315
615,314,316
616,316,314
617,313,313
618,316,315
619,313,312
620,316,316
621,311,312
622,314,315
623,311,312
624,316,316
625,311,310
626,314,315
627,311,310
628,313,314
629,314,314
630,314,314
631,316,315
632,315,314
633,319,317
634,315,315
635,320,319
636,316,317
637,321,322
638,317,317
639,320,320
640,318,316
641,321,320
642,318,315
643,318,317
644,316,316
645,318,318
646,318,317
647,316,317
648,320,319
649,316,318
650,321,321
651,319,318
652,324,322
653,320,319
654,324,323
655,320,318
656,322,322
657,318,317
658,321,320
659,318,317
660,316,316
661,316,315
662,313,312
663,314,312
664,311,310
665,313,311
666,308,307
667,308,308
668,303,303
669,306,305
670,302,303
671,302,302
672,298,297
673,300,300
674,298,296
675,296,297
676,296,295
677,296,297
678,297,296
679,297,297
680,300,298
681,298,298
682,301,300
683,296,296
684,303,303
685,297,297
686,304,303
687,303,300
688,303,303
689,302,301
690,305,305
691,304,303
692,302,304
693,305,303
694,303,304
695,306,304
696,301,302
697,307,305
698,300,300
699,305,304
700,299,298
701,304,303
702,299,299
703,300,300
704,297,298
705,300,300
706,298,297
707,297,296
708,295,295
709,294,293
710,295,293
711,289,289
712,293,292
713,288,287
714,292,291
715,290,290
716,293,293
717,289,290
718,295,295
719,292,291
720,294,295
721,293,293
722,296,296
723,298,296
724,296,297
725,300,299
726,299,298
727,304,301
728,298,298
729,305,303
730,300,301
731,307,308
732,306,305
733,311,310
734,308,306
735,310,310
736,309,308
737,310,311
738,312,310
739,309,309
740,312,311
741,311,310
742,314,313
743,309,307
744,308,308
745,305,305
746,310,310
747,305,305
748,307,308
749,306,303
750,307,305
751,305,304
752,307,307
753,307,306
754,305,304
755,307,306
756,304,304
757,308,307
758,303,303
759,307,307
760,304,304
761,307,307
762,306,304
763,307,308
764,306,305
765,307,308
766,307,305
767,307,308
768,308,308
769,308,309
770,312,311
771,314,313
772,316,316
773,312,309
774,297,294
775,278,278
776,278,275
777,265,263
778,263,262
779,251,249
780,247,247
781,238,237
782,235,234
783,230,228
784,226,225
785,226,225
786,224,223
787,233,232
788,233,231
789,238,239
790,239,240
791,249,248
792,248,247
793,254,254
794,255,255
795,262,262
796,263,263
797,269,269
798,274,272
799,275,275
800,278,278
801,280,281
802,286,286
803,290,289
804,295,294
805,293,294
806,302,300
807,297,298
808,307,306
809,303,304
810,310,310
811,308,308
812,312,312
813,311,310
814,312,312
815,315,314
816,316,317
817,321,321
818,322,322
819,328,328
820,327,327
821,333,334
822,335,334
823,342,343
824,341,341
825,347,346
826,350,349
827,354,354
828,355,355
829,359,359
830,359,359
831,362,362
832,367,365
833,367,366
834,370,369
835,370,369
836,374,374
837,370,370
838,375,375
839,371,370
840,376,375
841,371,369
842,374,374
843,370,370
844,369,370
845,371,369
846,368,368
847,369,367
848,364,364
849,364,364
850,359,359
851,362,361
852,356,356
853,360,358
854,352,351
855,356,355
856,352,351
857,356,354
858,351,349
859,351,351
860,348,349
861,348,348
862,347,347
863,348,346
864,348,347
865,345,346
866,350,347
867,345,344
868,353,352
869,350,348
870,354,354
871,352,351
872,355,354
873,352,352
874,353,354
875,353,353
876,352,353
877,356,354
878,351,352
879,354,353
880,353,353
881,354,353
882,350,349
883,352,351
884,347,347
885,349,349
886,347,345
887,348,349
888,345,345
889,349,348
890,345,344
891,346,346
892,347,345
893,344,345
894,346,345
895,341,342
896,344,344
897,338,340
898,342,341
899,338,337
900,341,339
901,335,334
902,337,336
903,335,333
904,337,336
905,334,333
906,333,333
907,332,330
908,329,328
909,328,327
910,327,326
911,329,329
912,322,322
913,327,326
914,322,322
915,323,324
916,318,318
917,320,320
918,318,317
919,317,317
920,314,314
921,315,317
922,319,317
923,316,316
924,318,318
925,317,318
926,322,321
927,318,320
928,326,325
929,321,322
930,329,328
931,324,322
932,328,327
933,323,322
934,329,328
935,326,325
936,326,326
937,324,324
938,323,324
939,327,326
940,324,325
941,329,327
942,326,326
943,328,328
944,324,324
945,327,327
946,323,320
947,322,324
948,319,317
949,320,320
950,316,314
951,315,316
952,313,311
953,312,312
954,312,309
955,306,307
956,308,306
957,304,303
958,306,304
959,301,301
960,307,307
961,303,303
962,306,307
963,303,304
964,307,308
965,306,304
966,308,308
967,308,308
968,312,312
969,311,311
970,312,312
971,316,314
972,314,314
973,318,318
974,314,314
975,319,320
976,317,317
977,324,324
978,323,321
979,330,328
980,325,323
981,324,325
982,325,323
983,324,325
984,323,322
985,320,320
986,321,320
987,319,319
988,321,321
989,314,315
990,320,318
991,314,313
992,316,316
993,315,314
994,317,316
995,314,313
996,318,317
997,313,313
998,315,315
999,318,316
1000,313,313
1001,314,313
1002,310,310
1003,314,313
1004,312,311
1005,312,312
1006,311,309
1007,313,312
1008,307,307
1009,312,312
1010,307,307
1011,308,310
1012,310,308
1013,311,311
1014,312,310
1015,311,311
1016,314,313
1017,311,311
1018,314,314
1019,314,313
1020,319,318
1021,316,317
1022,320,321
1023,320,320
1024,324,324
1025,324,323
1026,328,327
1027,326,326
1028,330,330
1029,329,329
1030,331,330
1031,331,331
1032,329,330
1033,333,333
1034,331,330
1035,334,333
1036,327,328
1037,332,331
1038,327,326
1039,331,329
1040,324,324
1041,325,325
1042,323,321
1043,322,322
1044,321,319
1045,323,321
1046,319,318
1047,319,318
1048,321,320
1049,314,315
1050,319,318
1051,314,313
1052,318,319
1053,314,313
1054,317,316
1055,313,312
1056,316,315
1057,313,311
1058,315,314
1059,312,312
1060,313,312
1061,313,312
1062,312,312
1063,313,312
1064,312,312
1065,315,313
1066,311,310
1067,312,312
1068,310,311
1069,316,316
1070,309,309
1071,313,313
1072,311,310
1073,312,312
1074,313,311
1075,314,314
1076,314,312
1077,311,312
1078,315,315
1079,315,316
1080,319,319
1081,318,317
1082,322,320
1083,318,317
1084,320,322
1085,318,318
1086,322,322
1087,320,318
1088,321,321
1089,320,319
1090,321,320
1091,319,318
1092,318,318
1093,319,318
1094,316,317
1095,318,317
1096,314,313
1097,318,315
1098,313,311
1099,316,315
1100,309,308
1101,311,310
1102,306,306
1103,308,307
1104,303,303
1105,304,305
1106,303,303
1107,302,303
1108,306,304
1109,302,302
1110,305,304
1111,303,303
1112,306,306
1113,303,302
1114,306,306
1115,306,305
1116,311,311
1117,310,309
1118,315,314
1119,315,314
1120,316,317
1121,316,316
1122,317,316
1123,318,318
1124,318,319
1125,323,322
1126,322,321
1127,326,325
1128,323,323
1129,328,329
1130,324,324
1131,330,330
1132,328,325
1133,327,327
1134,325,324
1135,325,326
1136,324,323
1137,323,323
1138,327,324
1139,324,325
1140,329,327
1141,324,325
1142,329,329
1143,326,325
1144,328,327
1145,322,322
1146,326,324
1147,322,320
1148,325,323
1149,322,320
1150,322,321
1151,320,320
1152,322,322
1153,322,321
1154,320,320
1155,321,320
1156,321,320
1157,323,322
1158,316,317
1159,320,319
1160,314,314
1161,317,317
1162,313,311
1163,315,314
1164,312,310
1165,313,313
1166,314,314
1167,315,315
1168,316,316
1169,319,318
1170,320,320
1171,318,318
1172,321,320
1173,319,318
1174,323,323
1175,321,321
1176,324,325
1177,322,321
1178,326,327
1179,327,325
1180,328,328
1181,327,325
1182,326,326
1183,326,326
1184,326,326
1185,326,324
1186,323,323
1187,324,325
1188,322,322
1189,323,323
1190,319,319
1191,325,323
1192,318,318
1193,325,324
1194,320,319
1195,322,322
1196,320,320
1197,322,322
1198,322,320
1199,321,320
1200,321,319
1201,319,319
1202,321,321
1203,318,319
1204,323,322
1205,319,318
1206,322,320
1207,316,315
1208,319,318
1209,315,314
1210,318,317
1211,314,313
1212,315,315
1213,316,314
1214,313,313
1215,311,311
1216,311,311
1217,317,314
1218,312,312
1219,315,314
1220,313,312
1221,318,319
1222,315,314
1223,320,320
1224,318,316
1225,320,320
1226,318,316
1227,319,320
1228,320,320
1229,322,322
1230,324,323
1231,323,324
1232,326,325
1233,323,322
1234,328,326
1235,325,323
1236,329,327
1237,322,322
1238,326,327
1239,325,323
1240,326,326
1241,322,322
1242,325,325
1243,326,325
1244,324,326
1245,327,325
1246,321,320
1247,322,321
1248,319,319
1249,320,318
1250,316,315
1251,318,318
1252,314,313
1253,317,315
1254,311,310
1255,314,315
1256,313,312
1257,313,314
1258,311,311
1259,312,312
1260,314,311
1261,309,310
1262,310,310
1263,308,309
1264,312,312
1265,309,310
1266,313,314
1267,308,309
1268,316,317
1269,313,312
1270,317,316
1271,317,316
1272,319,320
1273,320,320
1274,321,323
1275,320,320
1276,322,322
1277,324,324
1278,322,322
1279,327,326
1280,326,326
1281,328,329
1282,325,326
1283,331,331
1284,327,327
1285,330,331
1286,329,327
1287,329,328
1288,328,326
1289,328,328
1290,327,325
1291,327,326
1292,326,324
1293,322,324
1294,326,325
1295,322,322
1296,325,322
1297,320,319
1298,323,321
1299,317,316
1300,319,318
1301,312,311
1302,315,314
1303,311,309
1304,311,310
1305,307,307
1306,308,307
1307,306,306
1308,306,306
1309,307,305
1310,305,305
1311,309,308
1312,307,305
1313,311,309
1314,305,305
1315,313,312
1316,309,307
1317,311,311
1318,309,307
1319,312,312
1320,314,311
1321,312,313
1322,314,313
1323,315,315
1324,320,318
1325,319,318
1326,322,320
1327,317,317
1328,322,321
1329,316,316
