Point,raw,averaged
0,243,242
1,242,241
2,249,249
3,251,250
4,258,257
5,259,258
6,262,262
7,266,266
8,270,271
9,274,274
10,277,277
11,283,282
12,282,283
13,293,291
14,292,292
15,297,299
16,300,300
17,305,306
18,307,306
19,312,312
20,315,314
21,318,318
22,320,319
23,324,323
24,327,325
25,327,327
26,332,332
27,331,331
28,335,336
29,334,334
30,341,339
31,337,337
32,343,344
33,340,340
34,343,344
35,342,342
36,348,347
37,346,344
38,346,346
39,345,345
40,345,346
41,347,346
42,346,345
43,346,346
44,345,344
45,348,347
46,344,343
47,345,345
48,341,340
49,341,340
50,336,334
51,336,337
52,335,332
53,335,336
54,335,333
55,333,334
56,336,333
57,333,333
58,335,335
59,336,335
60,339,337
61,335,334
62,339,339
63,337,336
64,338,338
65,338,336
66,339,339
67,338,338
68,341,342
69,340,338
70,341,340
71,340,340
72,340,342
73,341,342
74,343,344
75,344,343
76,342,342
77,346,346
78,343,342
79,348,347
80,344,345
81,349,349
82,346,343
83,348,348
84,345,345
85,349,349
86,348,346
87,347,346
88,350,348
89,346,346
90,348,347
91,346,345
92,345,345
93,343,342
94,347,345
95,341,341
96,344,344
97,341,341
98,344,344
99,339,339
100,342,342
101,340,339
102,340,340
103,337,338
104,338,338
105,339,336
106,334,334
107,336,335
108,333,333
109,334,333
110,327,328
111,331,331
112,325,325
113,328,327
114,320,319
115,318,318
116,316,315
117,315,314
118,310,310
119,312,312
120,312,311
121,308,309
122,308,309
123,309,308
124,310,310
125,309,308
126,312,312
127,309,308
128,310,311
129,309,308
130,314,314
131,312,311
132,314,315
133,315,312
134,314,316
135,316,316
136,316,316
137,316,316
138,317,318
139,320,318
140,319,318
141,323,321
142,319,318
143,323,322
144,319,319
145,324,324
146,321,320
147,326,325
148,325,323
149,326,326
150,323,324
151,326,326
152,326,326
153,325,326
154,328,326
155,325,324
156,327,327
157,324,324
158,326,326
159,323,322
160,326,326
161,324,323
162,325,326
163,321,321
164,324,324
165,323,321
166,320,321
167,319,318
168,319,319
169,320,320
170,316,318
171,317,317
172,312,314
173,319,316
174,314,313
175,315,314
176,310,310
177,315,313
178,308,308
179,309,309
180,305,304
181,304,303
182,300,298
183,299,298
184,297,296
185,296,296
186,298,296
187,295,294
188,299,296
189,294,292
190,297,295
191,294,294
192,298,298
193,297,295
194,298,298
195,297,296
196,299,299
197,298,297
198,301,300
199,300,299
200,300,300
201,306,304
202,300,301
203,304,303
204,300,302
205,307,306
206,306,304
207,310,308
208,308,306
209,309,310
210,309,309
211,314,314
212,312,312
213,315,314
214,314,314
215,317,316
216,317,314
217,316,316
218,316,316
219,317,317
220,319,318
221,315,317
222,320,319
223,316,317
224,321,320
225,318,318
226,321,321
227,321,318
228,320,319
229,318,316
230,318,318
231,318,317
232,316,317
233,318,318
234,316,317
235,317,316
236,314,315
237,317,316
238,313,313
239,316,315
240,310,311
241,314,314
242,311,309
243,312,311
244,308,308
245,311,310
246,309,308
247,306,306
248,305,304
249,299,299
250,299,298
251,294,294
252,294,295
253,295,293
254,296,297
255,293,293
256,298,298
257,294,294
258,299,298
259,297,297
260,302,300
261,298,298
262,301,301
263,300,300
264,302,302
265,304,304
266,303,303
267,305,305
268,303,303
269,306,307
270,305,306
271,310,308
272,306,306
273,310,310
274,307,307
275,314,313
276,311,309
277,314,315
278,313,313
279,314,315
280,317,315
281,317,317
282,319,318
283,317,316
284,321,319
285,318,317
286,322,320
287,319,318
288,322,322
289,320,318
290,321,321
291,320,319
292,322,324
293,321,321
294,323,323
295,323,322
296,321,322
297,325,323
298,320,321
299,322,321
300,318,319
301,323,322
302,318,319
303,320,321
304,316,317
305,322,322
306,319,317
307,318,319
308,319,317
309,321,320
310,319,317
311,318,318
312,317,317
313,315,315
314,315,315
315,312,311
316,309,308
317,303,304
318,307,306
319,301,300
320,303,303
321,299,300
322,304,304
323,301,301
324,304,305
325,304,303
326,307,306
327,308,306
328,306,308
329,309,308
330,309,308
331,310,311
332,311,310
333,312,312
334,308,310
335,316,315
336,313,313
337,318,317
338,315,314
339,319,320
340,318,317
341,320,321
342,322,322
343,321,322
344,325,325
345,324,324
346,327,326
347,327,326
348,327,328
349,328,326
350,330,328
351,326,326
352,329,329
353,327,327
354,330,331
355,328,327
356,329,329
357,329,326
358,330,329
359,331,328
360,331,330
361,330,330
362,326,326
363,329,328
364,327,326
365,328,326
366,325,324
367,329,327
368,323,322
369,324,325
370,323,322
371,325,323
372,323,321
373,323,322
374,322,321
375,321,321
376,322,319
377,319,320
378,320,320
379,318,317
380,320,319
381,316,315
382,317,315
383,311,309
384,310,308
385,305,303
386,305,305
387,300,300
388,305,304
389,302,301
390,301,302
391,304,303
392,304,303
393,306,304
394,305,304
395,308,307
396,306,305
397,311,309
398,308,308
399,310,311
400,309,308
401,310,312
402,310,310
403,311,314
404,313,313
405,318,317
406,317,317
407,317,318
408,323,321
409,319,321
410,322,323
411,323,323
412,325,325
413,325,324
414,329,328
415,327,325
416,328,328
417,327,327
418,328,329
419,329,327
420,329,329
421,330,329
422,331,330
423,331,330
424,330,329
425,331,330
426,330,330
427,332,331
428,327,329
429,330,329
430,328,328
431,329,329
432,327,326
433,330,330
434,324,325
435,329,328
436,325,324
437,327,326
438,324,323
439,325,324
440,324,324
441,323,323
442,326,324
443,321,322
444,326,323
445,322,320
446,323,322
447,318,318
448,323,321
449,317,317
450,319,319
451,316,314
452,318,316
453,309,308
454,306,306
455,306,305
456,306,305
457,305,304
458,304,304
459,306,305
460,305,304
461,309,307
462,305,304
463,309,308
464,302,303
465,309,309
466,306,305
467,306,308
468,307,306
469,309,310
470,310,309
471,309,311
472,313,311
473,312,312
474,314,314
475,315,314
476,318,317
477,316,316
478,319,319
479,317,317
480,321,320
481,317,316
482,321,321
483,319,318
484,323,321
485,318,319
486,320,322
487,322,321
488,321,321
489,323,323
490,322,323
491,326,323
492,322,322
493,327,327
494,322,322
495,326,326
496,321,322
497,327,326
498,324,324
499,326,326
500,323,321
501,324,325
502,324,323
503,325,324
504,324,323
505,322,321
506,323,322
507,320,321
508,322,321
509,320,321
510,323,322
511,320,319
512,323,321
513,316,315
514,319,320
515,317,317
516,318,318
517,318,315
518,317,316
519,316,315
520,315,314
521,312,312
522,308,308
523,307,306
524,304,303
525,304,303
526,301,301
527,305,304
528,300,301
529,307,306
530,305,303
531,307,307
532,305,305
533,309,309
534,307,306
535,309,308
536,310,308
537,310,310
538,312,311
539,309,311
540,315,314
541,311,312
542,318,317
543,316,314
544,320,320
545,317,317
546,320,321
547,318,319
548,323,323
549,322,321
550,324,324
551,324,323
552,327,326
553,326,325
554,325,325
555,327,327
556,326,327
557,331,329
558,325,326
559,331,329
560,326,326
561,329,330
562,326,326
563,327,329
564,329,327
565,328,329
566,329,328
567,328,329
568,328,328
569,326,327
570,329,328
571,325,326
572,326,327
573,323,324
574,327,326
575,323,321
576,325,326
577,322,322
578,325,325
579,321,319
580,324,323
581,321,320
582,320,322
583,320,318
584,319,318
585,318,318
586,315,316
587,318,318
588,314,314
589,314,316
590,310,312
591,311,312
592,302,303
593,304,305
594,302,301
595,305,304
596,300,299
597,301,303
598,300,300
599,304,303
600,302,302
601,300,300
602,283,280
603,266,262
604,255,252
605,238,239
606,234,233
607,225,224
608,226,227
609,227,226
