time_s,raw,averaged
0.23,263,261
0.23,259,259
0.23,267,266
0.23,263,263
0.23,271,272
0.23,266,266
0.23,277,277
0.23,270,269
0.29,253,255
0.29,254,250
0.29,256,257
0.29,258,256
0.29,255,256
0.29,263,261
0.29,259,259
0.29,267,266
0.29,263,263
0.29,271,272
0.29,266,266
0.29,277,277
0.29,270,269
0.36,338,336
0.36,334,337
0.36,344,342
0.36,333,332
0.36,335,338
0.36,341,339
0.36,333,333
0.36,340,340
0.36,339,336
0.36,330,332
0.36,339,340
0.36,338,334
0.36,334,334
0.36,341,339
0.36,335,333
0.36,338,337
0.36,340,337
0.36,332,332
0.36,339,338
0.36,337,334
0.36,330,332
0.36,338,338
0.36,332,332
0.36,331,333
0.36,337,336
0.36,330,331
0.36,338,335
0.36,327,328
0.36,339,338
0.36,329,328
0.36,336,337
0.36,330,328
0.36,335,337
0.36,331,330
0.36,334,335
0.36,333,331
0.36,334,336
0.36,337,334
0.36,335,336
0.36,340,339
0.36,334,334
0.36,339,339
0.36,333,332
0.36,342,339
0.36,332,330
0.36,339,338
0.36,331,330
0.36,338,338
0.36,332,331
0.36,336,337
0.36,335,332
0.36,336,335
0.36,334,333
0.36,332,334
0.36,337,335
0.36,331,332
0.36,338,336
0.36,331,332
0.36,339,338
0.36,330,330
0.36,341,339
0.36,330,329
0.36,337,338
0.36,328,329
0.36,336,337
0.36,332,330
0.36,334,335
0.36,332,332
0.36,333,333
0.36,333,332
0.36,330,332
0.36,336,333
0.36,329,330
0.36,335,332
0.36,327,327
0.36,334,334
0.36,327,326
0.36,334,335
0.37,326,325
0.38,334,334
0.39,326,326
0.45,331,331
0.45,329,327
0.45,328,329
0.45,329,328
0.45,330,329
0.45,336,334
0.45,335,335
0.51,344,346
0.51,347,348
0.51,366,364
0.51,363,365
0.51,381,382
0.51,384,384
0.52,402,401
0.57,403,402
0.57,415,416
0.57,419,420
0.57,426,428
0.57,434,432
0.58,435,436
0.58,445,443
0.64,443,444
0.64,452,451
0.64,447,450
0.64,460,458
0.64,453,452
0.64,460,462
0.65,455,453
0.71,463,462
0.71,456,454
0.71,460,460
0.71,453,451
0.71,456,458
0.71,455,452
0.71,454,453
0.78,453,450
0.78,445,445
0.78,447,445
0.78,437,437
0.78,442,440
0.78,429,430
0.78,436,433
0.84,425,424
0.84,428,428
0.84,416,416
0.84,419,418
0.84,407,406
0.84,409,408
0.85,402,399
0.9,399,398
0.9,392,392
0.9,390,390
0.9,387,385
0.9,377,377
0.9,380,378
0.91,367,368
0.96,372,371
0.96,358,358
0.96,360,360
0.96,349,347
0.97,351,350
0.97,340,338
0.98,340,340
1.03,328,327
1.03,329,329
1.03,320,317
1.03,315,315
1.03,310,309
1.03,302,304
1.04,303,301
1.11,292,294
1.11,295,296
1.11,284,285
1.11,291,289
1.11,275,275
1.11,281,279
1.11,268,267
1.17,271,272
1.17,262,261
1.17,264,265
1.17,257,256
1.17,256,255
1.17,253,251
1.17,248,248
1.23,248,246
1.23,240,240
1.23,243,240
1.23,233,234
1.23,241,238
1.23,229,227
1.24,233,233
1.29,224,222
1.29,229,230
1.29,222,219
1.29,224,222
1.29,219,217
1.3,219,219
1.3,215,213
1.36,212,214
1.36,218,214
1.36,213,211
1.36,214,214
1.36,209,210
1.36,219,215
1.37,208,208
1.43,219,217
1.43,207,208
1.43,219,219
1.43,214,212
1.43,222,223
1.43,219,217
1.44,221,224
1.49,222,218
1.49,221,223
1.49,224,222
1.5,221,222
1.5,226,224
1.5,220,220
1.5,227,225
1.56,218,218
1.56,229,227
1.56,220,220
1.56,232,233
1.56,228,227
1.56,239,239
1.57,235,234
1.62,245,246
1.62,245,243
1.62,251,252
1.62,253,253
